Africa/Abidjan,0
Africa/Accra,0
Africa/Addis_Ababa,10800
Africa/Algiers,3600
Africa/Asmara,10800
Africa/Asmera,10800
Africa/Bamako,0
Africa/Bangui,3600
Africa/Banjul,0
Africa/Bissau,0
Africa/Blantyre,7200
Africa/Brazzaville,3600
Africa/Bujumbura,7200
Africa/Cairo,7200
Africa/Casablanca,3600
Africa/Ceuta,7200
Africa/Conakry,0
Africa/Dakar,0
Africa/Dar_es_Salaam,10800
Africa/Djibouti,10800
Africa/Douala,3600
Africa/El_Aaiun,3600
Africa/Freetown,0
Africa/Gaborone,7200
Africa/Harare,7200
Africa/Johannesburg,7200
Africa/Juba,7200
Africa/Kampala,10800
Africa/Khartoum,7200
Africa/Kigali,7200
Africa/Kinshasa,3600
Africa/Lagos,3600
Africa/Libreville,3600
Africa/Lome,0
Africa/Luanda,3600
Africa/Lubumbashi,7200
Africa/Lusaka,7200
Africa/Malabo,3600
Africa/Maputo,7200
Africa/Maseru,7200
Africa/Mbabane,7200
Africa/Mogadishu,10800
Africa/Monrovia,0
Africa/Nairobi,10800
Africa/Ndjamena,3600
Africa/Niamey,3600
Africa/Nouakchott,0
Africa/Ouagadougou,0
Africa/Porto-Novo,3600
Africa/Sao_Tome,0
Africa/Timbuktu,0
Africa/Tripoli,7200
Africa/Tunis,3600
Africa/Windhoek,7200
America/Adak,-32400
America/Anchorage,-28800
America/Anguilla,-14400
America/Antigua,-14400
America/Araguaina,-10800
America/Argentina/Buenos_Aires,-10800
America/Argentina/Catamarca,-10800
America/Argentina/ComodRivadavia,-10800
America/Argentina/Cordoba,-10800
America/Argentina/Jujuy,-10800
America/Argentina/La_Rioja,-10800
America/Argentina/Mendoza,-10800
America/Argentina/Rio_Gallegos,-10800
America/Argentina/Salta,-10800
America/Argentina/San_Juan,-10800
America/Argentina/San_Luis,-10800
America/Argentina/Tucuman,-10800
America/Argentina/Ushuaia,-10800
America/Aruba,-14400
America/Asuncion,-14400
America/Atikokan,-18000
America/Atka,-32400
America/Bahia,-10800
America/Bahia_Banderas,-18000
America/Barbados,-14400
America/Belem,-10800
America/Belize,-21600
America/Blanc-Sablon,-14400
America/Boa_Vista,-14400
America/Bogota,-18000
America/Boise,-21600
America/Buenos_Aires,-10800
America/Cambridge_Bay,-21600
America/Campo_Grande,-14400
America/Cancun,-18000
America/Caracas,-14400
America/Catamarca,-10800
America/Cayenne,-10800
America/Cayman,-18000
America/Chicago,-18000
America/Chihuahua,-21600
America/Coral_Harbour,-18000
America/Cordoba,-10800
America/Costa_Rica,-21600
America/Creston,-25200
America/Cuiaba,-14400
America/Curacao,-14400
America/Danmarkshavn,0
America/Dawson,-25200
America/Dawson_Creek,-25200
America/Denver,-21600
America/Detroit,-14400
America/Dominica,-14400
America/Edmonton,-21600
America/Eirunepe,-18000
America/El_Salvador,-21600
America/Ensenada,-25200
America/Fort_Nelson,-25200
America/Fort_Wayne,-14400
America/Fortaleza,-10800
America/Glace_Bay,-10800
America/Godthab,-7200
America/Goose_Bay,-10800
America/Grand_Turk,-14400
America/Grenada,-14400
America/Guadeloupe,-14400
America/Guatemala,-21600
America/Guayaquil,-18000
America/Guyana,-14400
America/Halifax,-10800
America/Havana,-14400
America/Hermosillo,-25200
America/Indiana/Indianapolis,-14400
America/Indiana/Knox,-18000
America/Indiana/Marengo,-14400
America/Indiana/Petersburg,-14400
America/Indiana/Tell_City,-18000
America/Indiana/Vevay,-14400
America/Indiana/Vincennes,-14400
America/Indiana/Winamac,-14400
America/Indianapolis,-14400
America/Inuvik,-21600
America/Iqaluit,-14400
America/Jamaica,-18000
America/Jujuy,-10800
America/Juneau,-28800
America/Kentucky/Louisville,-14400
America/Kentucky/Monticello,-14400
America/Knox_IN,-18000
America/Kralendijk,-14400
America/La_Paz,-14400
America/Lima,-18000
America/Los_Angeles,-25200
America/Louisville,-14400
America/Lower_Princes,-14400
America/Maceio,-10800
America/Managua,-21600
America/Manaus,-14400
America/Marigot,-14400
America/Martinique,-14400
America/Matamoros,-18000
America/Mazatlan,-21600
America/Mendoza,-10800
America/Menominee,-18000
America/Merida,-18000
America/Metlakatla,-28800
America/Mexico_City,-18000
America/Miquelon,-7200
America/Moncton,-10800
America/Monterrey,-18000
America/Montevideo,-10800
America/Montreal,-14400
America/Montserrat,-14400
America/Nassau,-14400
America/New_York,-14400
America/Nipigon,-14400
America/Nome,-28800
America/Noronha,-7200
America/North_Dakota/Beulah,-18000
America/North_Dakota/Center,-18000
America/North_Dakota/New_Salem,-18000
America/Nuuk,-7200
America/Ojinaga,-21600
America/Panama,-18000
America/Pangnirtung,-14400
America/Paramaribo,-10800
America/Phoenix,-25200
America/Port-au-Prince,-14400
America/Port_of_Spain,-14400
America/Porto_Acre,-18000
America/Porto_Velho,-14400
America/Puerto_Rico,-14400
America/Punta_Arenas,-10800
America/Rainy_River,-18000
America/Rankin_Inlet,-18000
America/Recife,-10800
America/Regina,-21600
America/Resolute,-18000
America/Rio_Branco,-18000
America/Rosario,-10800
America/Santa_Isabel,-25200
America/Santarem,-10800
America/Santiago,-14400
America/Santo_Domingo,-14400
America/Sao_Paulo,-10800
America/Scoresbysund,0
America/Shiprock,-21600
America/Sitka,-28800
America/St_Barthelemy,-14400
America/St_Johns,-9000
America/St_Kitts,-14400
America/St_Lucia,-14400
America/St_Thomas,-14400
America/St_Vincent,-14400
America/Swift_Current,-21600
America/Tegucigalpa,-21600
America/Thule,-10800
America/Thunder_Bay,-14400
America/Tijuana,-25200
America/Toronto,-14400
America/Tortola,-14400
America/Vancouver,-25200
America/Virgin,-14400
America/Whitehorse,-25200
America/Winnipeg,-18000
America/Yakutat,-28800
America/Yellowknife,-21600
Antarctica/Casey,39600
Antarctica/Davis,25200
Antarctica/DumontDUrville,36000
Antarctica/Macquarie,36000
Antarctica/Mawson,18000
Antarctica/McMurdo,43200
Antarctica/Palmer,-10800
Antarctica/Rothera,-10800
Antarctica/South_Pole,43200
Antarctica/Syowa,10800
Antarctica/Troll,7200
Antarctica/Vostok,21600
Arctic/Longyearbyen,7200
Asia/Aden,10800
Asia/Almaty,21600
Asia/Amman,10800
Asia/Anadyr,43200
Asia/Aqtau,18000
Asia/Aqtobe,18000
